,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,중정비 진행 현황 (종합),,,,,,,,,,,,,,,,,관리자 :,,,,,지연확정,"지연
가능성","정상출고
예정","조기출고
예정",출고완료,
,,종합 인원 운영 현황,,,,일 Assign현황,,,,,일 M/P 효과,,,누적 현황,,OT,전일 인원 투입 ,,,"인원
투입",,,,,,,,,
,,구분,Plan,Actual,진행,선임,DMSM,주간,야간,합계,야간,OT,가용,야간,OT ,,Actual,야간,OT,,,,,,,,,,
,,MHA,,,,,종합 인원 운영 현황,,,,일 Assign현황,,,,,일 M/P 효과,,,누적 현황,#DIV/0!,,,,,,,,,
,,MHE,,,,,구분,Plan,Actual,진행,선임,,주간,야간,합계,야간,OT,가용,야간,,,,,,,,,,
,,MHR,,,,,AMT,1.0 ,4.1 ,4.1 ,,0.0 ,0.0 ,3.0 ,3.0 ,1.1 ,0.0 ,4.1 ,3.0 ,,,,,,,,,,
,,MIA,,,,,AVT,1.0 ,19.8 ,19.8 ,,,6.0 ,10.0 ,16.0 ,3.8 ,0.0 ,19.8 ,10.0 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,항공기 정보,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,기종,,기번,,항공사,PKG,,,,Bay,Plan,From,,,To,,,TAT,,,,,,,,,,
,,,,,,,HEAVY MAINTENANCE,,,,,1,,,,,,,0N 0D,,,,,,,,,,
,,,,,,,,,,,항공사,2,,,,PLAN,,FROM,0N 0D,,,,,,,,,,
,,,,,,,,,,,OZ,3,,,,1899.12.31.,,2026. 08.05,0N 0D,,,,,,,,,,
